pen|any of various instruments for writing or drawing with ink or a similar substance.
water|a transparent, odorless, tasteless liquid, a compound of hydrogen and oxygen, H2O, freezing at 32F or 0C and boiling at 212F or 100C, that in a more or less impure state constitutes rain, oceans, lakes, rivers, etc.: it contains 11.188 percent hydrogen and 88.812 percent oxygen, by weight.
detail|an individual or minute part; an item or particular.
route|a course, way, or road for passage or travel: What's the shortest route to Boston?
tiger|a large, carnivorous, tawny-colored and black-striped feline, Panthera tigris, of Asia, ranging in several subspecies from India and the Malay Peninsula to Siberia: the entire species is endangered, with some subspecies thought to be extinct.
egg|the roundish reproductive body produced by the female of certain animals, as birds and most reptiles, consisting of an ovum and its envelope of albumen, jelly, membranes, egg case,  or shell, according to species.
form|external appearance of a clearly defined area, as distinguished from color or material; configuration: a triangular form.
activity|the state or quality of being active: There was not much activity in the stock market today. He doesn't have enough physical activity in his life.
drawer|a sliding, lidless, horizontal compartment, as in a piece of furniture, that may be drawn  out in order to gain access to it.
letters|literary knowledge, ability, or learning
books|a handwritten or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers.
writing|the act of a person or thing that writes.
airport|a tract of land or water with facilities for the landing, takeoff, shelter, supply, and repair of aircraft, especially one used for receiving or discharging passengers and cargo at regularly scheduled times.
flock|a number of animals of one kind, especially sheep, goats, or birds, that keep or feed together or are herded together.
system|an assemblage or combination of things or parts forming a complex or unitary whole: a mountain system; a railroad system.
basin|a circular container with a greater width than depth, becoming smaller toward the bottom, used chiefly to hold water or other liquid, especially for washing.
cat|a small domesticated carnivore, Felis domestica or F. catus, bred in a number of varieties.
beef|the flesh of a cow, steer, or bull raised and killed for its meat.
approval|the act of approving;  approbation.
sort|a particular kind, species, variety, class, or group, distinguished by a common character or nature: to develop a new sort of painting; nice people, of course, but not really our sort.
bedroom|a room  furnished and used for sleeping.
veil|a piece of opaque or transparent material worn over the face for concealment, for protection from the elements, or to enhance the appearance.
sneeze|to emit air or breath suddenly, forcibly, and audibly through the nose and mouth by involuntary, spasmodic action.
squirrel|any of numerous arboreal, bushy-tailed rodents of the genus Sciurus, of the family Sciuridae.
amusement|anything that amuses;  pastime; entertainment.
dust|earth or other matter in fine, dry particles.
playground|an area used for outdoor play  or recreation, especially by children, and often containing recreational equipment such as slides and swings.
wealth|a great quantity or store of money, valuable possessions, property, or other riches: the wealth of a city.
team|a number of persons forming one of the sides in a game or contest: a football team.
rain|water that is condensed from the aqueous vapor in the atmosphere and falls to earth in drops more than 0.02 inch (0.5 millimeters) in diameter.
afterthought|a later or second thought;  reconsideration.
base|the bottom support of anything; that on which a thing stands or rests: a metal base for the table.
mist|a cloudlike aggregation of minute globules of water suspended in the atmosphere at or near the earth's surface, reducing visibility to a lesser degree than fog.
fly|to move through the air using wings.
income|the monetary payment received for goods or services, or from other sources, as rents or investments.
camera|a device for capturing a photographic image or recording a video, using film or digital memory.
fish|any of various cold-blooded, aquatic vertebrates, having gills, commonly fins, and typically an elongated body covered with scales.
aunt|the sister of one's father or mother.
offer|to present for acceptance or rejection; proffer: He offered me a cigarette.
notebook|a book  of notes: They checked the sergeant's notebook for clues to his whereabouts.
clam|any of various bivalve mollusks, especially certain edible species.
ticket|a slip, usually of paper or cardboard, serving as evidence that the holder has paid a fare or admission or is entitled to some service, right, or the like: a railroad ticket; a theater ticket.
throne|the chair or seat occupied by a sovereign, bishop, or other exalted personage on ceremonial occasions, usually raised on a dais and covered with a canopy.
calendar|a table or register with the days of each month and week in a year: He marked the date on his calendar.
respect|a particular, detail, or point (usually preceded by in): to differ in some respect.
cave|a hollow in the earth, especially one opening more or less horizontally into a hill, mountain, etc.
stem|the ascending axis of a plant, whether above or below ground, which ordinarily grows in an opposite direction to the root or descending axis.
level|having no part higher than another; having a flat or even surface.
example|one of a number of things, or a part of something, taken to show the character of the whole: This painting is an example of his early work.
brick|a block of clay hardened by drying in the sun or burning in a kiln, and used for building, paving, etc.
range|the extent to which or the limits between which variation is possible: the range of steel prices; a wide range of styles.
sea|the salt waters that cover the greater part of the earth's surface.
trouble|to disturb the mental calm and contentment of; worry; distress; agitate.
cattle|bovine animals, especially domesticated members of the genus Bos.
dress|an outer garment for women and girls, consisting of bodice and skirt in one piece.
development|the act or process of developing;  growth; progress: child development; economic development.
battle|a hostile encounter or engagement between opposing military forces: the battle of Waterloo.
leather|the skin of an animal, with the hair removed, prepared for use by tanning or a similar process designed to preserve it against decay and make it pliable or supple when dry.
suit|a set of clothing, armor, or the like, intended for wear together.
low|situated, placed, or occurring not far above the ground, floor, or base: a low shelf.
lip|either of the two fleshy parts or folds forming the margins of the mouth and functioning in speech.
health|the general condition of the body or mind with reference to soundness and vigor: good health; poor health.
adjustment|the act of adjusting;  adaptation to a particular condition, position, or purpose.
oven|a chamber or compartment, as in a stove, for baking, roasting, heating, drying, etc.
hose|a flexible tube for conveying a liquid, as water, to a desired point: a garden hose; a fire hose.
crown|any of various types of headgear worn by a monarch as a symbol of sovereignty, often made of precious metal and ornamented with valuable gems.
wire|a slender, stringlike piece or filament of relatively rigid or flexible metal, usually circular in section, manufactured in a great variety of diameters and metals depending on its application.
end|the last part or extremity, lengthwise, of anything that is longer than it is wide or broad: the end of a street; the end of a rope.
heat|the state of a body perceived as having or generating a relatively high degree of warmth.
crack|to break without complete separation of parts; become fissured: The plate cracked when I dropped it, but it was still usable.
harbor|a part of a body of water along the shore deep enough for anchoring a ship and so situated with respect to coastal features, whether natural or artificial, as to provide protection from winds, waves, and currents.
cactus|any of numerous succulent plants of the family Cactaceae, of warm, arid regions of the New World, having fleshy, leafless, usually spiny stems, and typically having solitary, showy flowers.
way|manner, mode, or fashion: a new way of looking at a matter; to reply in a polite way.
ground|the solid surface of the earth; firm or dry land: to fall to the ground.
price|the sum or amount of money or its equivalent for which anything is bought, sold, or offered for sale.
ink|a fluid or viscous substance used for writing or printing.
book|a handwritten or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers.
loaf|a portion of bread or cake baked in a mass, usually oblong with a rounded top.
zephyr|a gentle, mild breeze.
tramp|to tread or walk with a firm, heavy, resounding step.
cherries|the fruit of any of various trees belonging to the genus Prunus, of the rose family, consisting of a pulpy, globular drupe enclosing a one-seeded smooth stone.
doll|a small figure representing a baby or other human being, especially for use as a child's toy.
kittens|a young cat.
tent|a portable shelter of skins, canvas, plastic, or the like, supported by one or more poles or a frame and often secured by ropes fastened to pegs in the ground.
powder|any solid substance reduced to a state of fine, loose particles by crushing, grinding, disintegration, etc.
bite|to cut, wound, or tear with the teeth: She bit the apple greedily. The lion bit his trainer.
peace|the normal, nonwarring condition of a nation, group of nations, or the world.
pot|a container of earthenware, metal, etc., usually round and deep and having a handle or handles and often a lid, used for cooking, serving, and other purposes.
soup|a liquid food made by boiling or simmering meat, fish, or vegetables with various added ingredients.
regret|to feel sorrow or remorse for (an act, fault, disappointment, etc.): He no sooner spoke than he regretted it.
sink|to displace part of the volume of a supporting substance or object and become totally or partially submerged or enveloped; fall or descend into or below the surface or to the bottom (often followed by in or into): The battleship sank within two hours. His foot sank in the mud. Her head sinks into the pillows.
frogs|any tailless, stout-bodied amphibian of the order Anura, including the smooth, moist-skinned frog species that live in a damp or semiaquatic habitat and the warty, drier-skinned toad species that are mostly terrestrial as adults.
earth|(often initial capital letter)
wood|the hard, fibrous substance composing most of the stem and branches of a tree or shrub, and lying beneath the bark; the xylem.
drop|a small quantity of liquid that falls or is produced in a more or less spherical mass; a liquid globule.
underwear|clothing worn  next to the skin under outer clothes.
turkey|a large, gallinaceous  bird of the family Meleagrididae, especially Meleagris gallopavo, of America, that typically has green, reddish-brown, and yellowish-brown plumage of a metallic luster and that is domesticated in most parts of the world.
sound|the sensation produced by stimulation of the organs of hearing by vibrations transmitted through the air or other medium.
plant|any member of the kingdom Plantae, comprising multicellular organisms that typically produce their own food from inorganic matter by the process of photosynthesis and that have more or less rigid cell walls containing cellulose, including vascular plants, mosses, liverworts, and hornworts: some classification schemes may include fungi, algae, bacteria, blue-green algae, and certain single-celled eukaryotes that have plantlike qualities, as rigid cell walls or photosynthesis.
blow|a sudden, hard stroke with a hand, fist, or weapon: a blow to the head.
direction|the act or an instance of directing.
muscle|a tissue composed of cells or fibers, the contraction of which produces movement in the body.
story|a narrative, either true or fictitious, in prose or verse, designed to interest, amuse, or instruct the hearer or reader; tale.
tomatoes|any of several plants belonging to the genus Lycopersicon, of the nightshade family, native to Mexico and Central and South America, especially the widely cultivated species L. lycopersicum, bearing a mildly acid, pulpy, usually red fruit eaten raw or cooked as a vegetable.
territory|any tract of land; region or district.
friction|surface resistance to relative motion, as of a body sliding or rolling.
whistle|to make a clear musical sound, a series of such sounds, or a high-pitched, warbling sound by the forcible expulsion of the breath through a small opening formed by contracting the lips, or through the teeth, with the aid of the tongue.
mice|plural of mouse.
babies|an infant or very young child.
lamp|any of various devices furnishing artificial light, as by electricity or gas.
baseball|a game of ball  between two nine-player teams played usually for nine innings on a field that has as a focal point a diamond-shaped infield with a home plate and three other bases,  90 feet (27 meters) apart, forming a circuit that must be completed by a base runner  in order to score, the central offensive action entailing hitting of a pitched ball with a wooden or metal bat and running of the bases, the winner being the team scoring the most runs.
rat|any of several long-tailed rodents of the family Muridae, of the genus Rattus and related genera, distinguished from the mouse by being larger.
smile|to assume a facial expression indicating pleasure, favor, or amusement, but sometimes derision or scorn, characterized by an upturning of the corners of the mouth.
camp|a place where an army or other group of persons or an individual is lodged in a tent or tents or other temporary means of shelter.
reason|a basis or cause, as for some belief, action, fact, event, etc.: the reason for declaring war.
point|a sharp or tapering end, as of a dagger.
horn|one of the bony, permanent, hollow paired growths, often curved and pointed, that project from the upper part of the head of certain hooved mammals, as cattle, sheep, goats, or antelopes.
yard|a common unit of linear measure in English-speaking countries, equal to 3 feet or 36 inches, and equivalent to 0.9144 meter.
hat|a shaped covering for the head, usually with a crown and brim, especially for wear outdoors.
size|the spatial dimensions, proportions, magnitude, or bulk of anything: the size of a farm; the size of the fish you caught.
fireman|a person employed to extinguish or prevent fires; firefighter.
account|an oral or written description of particular events or situations; narrative: an account of the meetings; an account of the trip.
self|a person or thing referred to with respect to complete individuality: one's own self.
bushes|a low plant with many branches that arise from or near the ground.
pets|any domesticated or tamed animal that is kept as a companion and cared for affectionately.
downtown|to or in the main business section of a city.
bucket|a deep, cylindrical vessel, usually of metal, plastic, or wood, with a flat bottom and a semicircular bail, for collecting, carrying, or holding water, sand, fruit, etc.; pail.
caption|a title or explanation for a picture or illustration, especially in a magazine.
aftermath|something that results or follows from an event, especially one of a disastrous or unfortunate nature; consequence: the aftermath of war; the aftermath of the flood.
trucks|any of various forms of vehicle for carrying goods and materials, usually consisting of a single self-propelled unit but also often composed of a trailer vehicle hauled by a tractor unit.
kick|to strike with the foot or feet: to kick the ball; to kick someone in the shins.
theory|a coherent group of tested general propositions, commonly regarded as correct, that can be used as principles of explanation and prediction for a class of phenomena: Einstein's theory of relativity.
snake|any of numerous limbless, scaly, elongate reptiles of the suborder Serpentes, comprising venomous and nonvenomous species inhabiting tropical and temperate areas.
death|the act of dying; the end of life; the total and permanent cessation of all the vital functions of an organism.
cow|the mature female of a bovine animal, especially of the genus Bos.
man|an adult male person.
riddle|a question or statement so framed as to exercise one's ingenuity in answering it or discovering its meaning; conundrum.
debt|something that is owed or that one is bound to pay to or perform for another: a debt of $50.
creature|an animal, especially a nonhuman: the creatures of the woods and fields; a creature from outer space.
texture|the visual and especially tactile quality of a surface: rough texture.
wound|an injury, usually involving division of tissue or rupture of the integument or mucous membrane, due to external violence or some mechanical agency rather than disease.
daughter|a female child or person in relation to her parents.
quiver|to shake with a slight but rapid motion; vibrate tremulously; tremble.
day|the interval of light between two successive nights; the time between sunrise and sunset: Since there was no artificial illumination, all activities had to be carried on during the day.
beginner|a person or thing that begins.
vessel|a craft for traveling on water, now usually one larger than an ordinary rowboat; a ship or boat.
existence|the state or fact of existing;  being.
group|any collection or assemblage of persons or things; cluster; aggregation: a group of protesters; a remarkable group of paintings.
church|a building for public Christian worship.
cream|the fatty part of milk, which rises to the surface when the liquid is allowed to stand unless homogenized.
flag|a piece of cloth, varying in size, shape, color, and design, usually attached at one edge to a staff or cord, and used as the symbol of a nation, state, or organization, as a means of signaling, etc.; ensign; standard; banner; pennant.
flame|burning gas or vapor, as from wood or coal, that is undergoing combustion; a portion of ignited gas or vapor.
sense|any of the faculties, as sight, hearing, smell, taste, or touch, by which humans and animals perceive stimuli originating from outside or inside the body: My sense of smell tells me that dinner is ready.
pear|the edible fruit, typically rounded but elongated and growing smaller toward the stem, of a tree, Pyrus communis, of the rose family.
